behavior_id,tactic_id,relationship
SB164,TA0008,FEND_OFF
SB164,TA0009,FEND_OFF
SB164,TA0011,FEND_OFF
SB164,TA0010,FEND_OFF
SB164,TA0040,FEND_OFF
SB171,TA0042,FEND_OFF
SB171,TA0001,FEND_OFF
SB171,TA0003,FEND_OFF
SB171,TA0005,FEND_OFF
SB171,TA0006,FEND_OFF
SB171,TA0007,FEND_OFF
SB171,TA0008,FEND_OFF
SB171,TA0009,FEND_OFF
SB171,TA0010,FEND_OFF
SB171,TA0040,FEND_OFF
SB173,TA0043,FEND_OFF
SB173,TA0042,FEND_OFF
SB173,TA0001,FEND_OFF
SB173,TA0006,FEND_OFF
SB173,TA0009,FEND_OFF
SB173,TA0010,FEND_OFF
SB173,TA0040,FEND_OFF
SB185,TA0001,FEND_OFF
SB185,TA0006,FEND_OFF
SB185,TA0009,FEND_OFF
SB185,TA0010,FEND_OFF
SB185,TA0040,FEND_OFF
SB189,TA0042,FEND_OFF
SB189,TA0001,FEND_OFF
SB189,TA0002,FEND_OFF
SB189,TA0003,FEND_OFF
SB189,TA0004,FEND_OFF
SB189,TA0005,FEND_OFF
SB189,TA0006,FEND_OFF
SB189,TA0007,FEND_OFF
SB189,TA0008,FEND_OFF
SB189,TA0009,FEND_OFF
SB189,TA0011,FEND_OFF
SB189,TA0010,FEND_OFF
SB189,TA0040,FEND_OFF
SB202,TA0006,FEND_OFF
SB202,TA0007,FEND_OFF
SB202,TA0009,FEND_OFF
SB202,TA0010,FEND_OFF
SB202,TA0040,FEND_OFF
SB203,TA0042,FEND_OFF
SB203,TA0001,FEND_OFF
SB203,TA0003,FEND_OFF
SB203,TA0005,FEND_OFF
SB203,TA0006,FEND_OFF
SB203,TA0040,FEND_OFF
SB209,TA0042,FEND_OFF
SB209,TA0001,FEND_OFF
SB209,TA0004,FEND_OFF
SB209,TA0006,FEND_OFF
SB209,TA0008,FEND_OFF
SB209,TA0009,FEND_OFF
SB209,TA0010,FEND_OFF
SB209,TA0040,FEND_OFF
SB210,TA0042,FEND_OFF
SB210,TA0001,FEND_OFF
SB210,TA0004,FEND_OFF
SB210,TA0006,FEND_OFF
SB210,TA0008,FEND_OFF
SB210,TA0009,FEND_OFF
SB210,TA0010,FEND_OFF
SB210,TA0040,FEND_OFF
SB213,TA0042,FEND_OFF
SB213,TA0001,FEND_OFF
SB213,TA0002,FEND_OFF
SB213,TA0003,FEND_OFF
SB213,TA0004,FEND_OFF
SB213,TA0005,FEND_OFF
SB213,TA0006,FEND_OFF
SB213,TA0007,FEND_OFF
SB213,TA0008,FEND_OFF
SB213,TA0009,FEND_OFF
SB213,TA0011,FEND_OFF
SB213,TA0010,FEND_OFF
SB213,TA0040,FEND_OFF
SB112,TA0042,FEND_OFF
SB112,TA0001,FEND_OFF
SB112,TA0003,FEND_OFF
SB112,TA0004,FEND_OFF
SB112,TA0006,FEND_OFF
